criteria_combo,count
BP1+PM2_Supporting,13933
BS3+PM2_Supporting,1703
BP1,1652
BP4+BP7,119
BS3+PM2_Supporting+PP3,117
BP1+BS3+PM2_Supporting,81
BP1+BP5,70
BP1+BP5+PM2_Supporting,44
BP1+BS1_Supporting,36
BP5+BS3,29
BP1+BS1_Strong,24
BA1,23
BP1+BS3,22
BP5+BS3+PM2_Supporting,13
BS1_Supporting+BS3,10
BP1+BP5+BS3,10
BP5,10
BP1+BP5+BS1_Supporting,7
BP4+BP7+BS1_Supporting,6
BP1+BP5+BS1_Strong,6
BP5+BS1_Strong+BS3,5
BS1_Strong+BS3,5
BS3+PP3,5
BP5+BS1_Supporting+BS3,4
BP1+BP5+BS1_Strong+BS3,4
BP5+BS3+PP3,2
BP5+BS1_Supporting,2
BP4+BP7+BS1_Strong,2
BP5+PM2_Supporting,2
BP1+BP5+BS3+PM2_Supporting,2
BP1+BS1_Supporting+BS3,2
BS1_Supporting+BS3+PP3,1
BP4+BP5+BP7,1
BP5+PS3,1
BP5+BS1_Supporting+BS3+PP3,1
BP1+BP5+BS1_Supporting+BS3,1
